subject,task,group,rmse_reconstruction,rmse_denoising
Subject00,1,B,6.974448222504142e-06,5.478118063379616e-06
Subject00,2,B,1.1353542371758714e-05,5.4815632064293905e-06
Subject01,1,G,6.347960848779037e-06,5.419992846732286e-06
Subject01,2,G,1.0456580086801164e-05,5.49942631594292e-06
Subject02,1,G,1.007260142916388e-05,6.305191668229517e-06
Subject02,2,G,1.003473739895157e-05,6.400160481413102e-06
Subject03,1,G,6.819798681401707e-06,5.3137270573808055e-06
Subject03,2,G,5.490119116838231e-06,5.4615186319580625e-06
Subject04,1,B,7.358621185426122e-06,5.676136697866757e-06
Subject04,2,B,8.99763484032197e-06,5.7987273850197805e-06
Subject05,1,G,8.567237989512283e-06,5.410431236618822e-06
Subject05,2,G,8.936999234531004e-06,5.265764906671169e-06
Subject06,1,B,4.865483897813808e-06,5.075136871334712e-06
Subject06,2,B,6.520015829338878e-06,5.543252461802805e-06
Subject07,1,G,6.642916207561772e-06,5.579835660264959e-06
Subject07,2,G,7.711658714074934e-06,5.314926924762495e-06
Subject08,1,G,6.3877104003396385e-06,5.455524985151614e-06
Subject08,2,G,6.664711893369051e-06,5.192375701673425e-06
Subject09,1,B,5.204952208440348e-06,5.1148871137085025e-06
Subject09,2,B,5.570421653248747e-06,5.2657090327383256e-06
Subject10,1,B,5.273909561770006e-06,5.144096391641426e-06
Subject10,2,B,6.2551045773326184e-06,5.136552934130302e-06
Subject11,1,G,4.735657182119095e-06,5.304327247758946e-06
Subject11,2,G,4.393139637336635e-06,5.300984457982898e-06
Subject12,1,G,6.6829320963976485e-06,5.310912008071607e-06
Subject12,2,G,7.123181693089726e-06,5.4527049655007045e-06
Subject13,1,G,5.9152026843477e-06,5.526762119508438e-06
Subject13,2,G,7.673897803220342e-06,5.470084827328417e-06
Subject14,1,B,9.195438607446074e-06,5.655734272579768e-06
Subject14,2,B,9.71886392250627e-06,5.63204763443044e-06
Subject15,1,G,8.89392144726243e-06,5.31400115704184e-06
Subject15,2,G,7.3662170749290645e-06,5.383608777792235e-06
Subject16,1,G,6.693515410944724e-06,5.413197371976282e-06
Subject16,2,G,4.686677872852834e-06,5.1178071292116975e-06
Subject17,1,G,5.173987142039988e-06,5.339477026731648e-06
Subject17,2,G,6.761049967641198e-06,5.276681829465912e-06
Subject18,1,G,4.696513137753621e-06,5.269799624165697e-06
Subject18,2,G,4.073783432976407e-06,5.34564641337071e-06
Subject19,1,B,4.907737767943073e-06,5.472155681987312e-06
Subject19,2,B,4.7544202250341445e-06,5.356956234089333e-06
Subject20,1,G,6.3256673257766346e-06,5.176167292475919e-06
Subject20,2,G,7.787557979169091e-06,5.694989046137671e-06
Subject21,1,B,9.81828215936125e-06,5.50098723527799e-06
Subject21,2,B,7.056413278244539e-06,5.29495193148128e-06
Subject22,1,B,8.296674112847352e-06,5.447913297000875e-06
Subject22,2,B,6.780977900616447e-06,5.1933775304251095e-06
Subject23,1,G,7.94258400957555e-06,5.341068775130016e-06
Subject23,2,G,8.462829841359894e-06,5.431622786220794e-06
Subject24,1,G,6.292042749132481e-06,5.3547099206737175e-06
Subject24,2,G,7.968236516350297e-06,5.6289514326570975e-06
Subject25,1,G,9.305154482097453e-06,5.398395376927514e-06
Subject25,2,G,9.311830836203053e-06,5.651420338414842e-06
Subject26,1,G,5.3795242819207394e-06,5.275797139682506e-06
Subject26,2,G,5.536460898105558e-06,5.5158345450691315e-06
Subject27,1,G,7.917196769602962e-06,5.344553472473544e-06
Subject27,2,G,5.621004886159396e-06,5.2485407423931076e-06
Subject28,1,G,5.881028785836129e-06,5.170489671962908e-06
Subject28,2,G,1.0841699721078628e-05,5.6466446762453525e-06
Subject29,1,G,7.904111725697188e-06,5.225153427104606e-06
Subject29,2,G,7.0693707768913085e-06,5.4949808740523515e-06
Subject30,1,B,4.7064823108699166e-06,5.525309003398042e-06
Subject30,2,B,7.3331008349244174e-06,5.094652018749345e-06
Subject31,1,G,7.015963090610718e-06,5.6120874318264575e-06
Subject31,2,G,6.6551974948540505e-06,5.314076058668601e-06
Subject32,1,G,8.392093024967697e-06,5.390385503303736e-06
Subject32,2,G,1.0999803467611861e-05,5.704646718240989e-06
Subject33,1,G,8.159187539105865e-06,5.2519759798452195e-06
Subject33,2,G,5.437230807194627e-06,5.426165292003328e-06
Subject34,1,G,6.453210217925727e-06,5.415803471457194e-06
Subject34,2,G,8.089136228330315e-06,5.499868610142914e-06
Subject35,1,G,5.848356552933944e-06,5.2385485649133305e-06
Subject35,2,G,8.207528770964422e-06,5.614669482047219e-06
